*X-Coordinate,*Y-Coordinate,*Z-Coordinate,DESCR,*Vertex Number,LEVEL
19462.78228,30420.25473,7147.463937,191OB_Internal_Ramp_Upper,4,3875
19436.0191,30427.09619,7151.617469,191OB_Internal_Ramp_Upper,5,3875
19394.93972,30423.13484,7157.847769,191OB_Internal_Ramp_Upper,6,3875
19369.97701,30411.30535,7162.001301,191OB_Internal_Ramp_Upper,7,3875
19349.20315,30393.09764,7166.154834,191OB_Internal_Ramp_Upper,8,3875
19336.58117,30372.4981,7168.091262,191OB_Internal_Ramp_Upper,9,3875
19329.11098,30348.68124,7168.922329,191OB_Internal_Ramp_Upper,10,3875
19327.74981,30323.75743,7169.752996,191OB_Internal_Ramp_Upper,11,3875
19332.559,30299.34387,7171.796765,191OB_Internal_Ramp_Upper,12,3875
19353.96082,30262.96801,7178.175405,191OB_Internal_Ramp_Upper,13,3875
19388.46318,30238.66105,7184.554044,191OB_Internal_Ramp_Upper,14,3875
19607.01462,30164.06855,7219.19454,191OB_Internal_Ramp_Upper,15,3875
19634.14555,30158.87369,7223.348073,191OB_Internal_Ramp_Upper,16,3875
19661.6626,30161.2998,7227.501605,191OB_Internal_Ramp_Upper,17,3875
19687.46601,30171.16175,7231.655138,191OB_Internal_Ramp_Upper,18,3875
19709.58679,30187.70698,7235.808671,191OB_Internal_Ramp_Upper,19,3875
19726.33696,30209.67299,7239.962203,191OB_Internal_Ramp_Upper,20,3875
19738.73319,30249.0372,7246.192502,191OB_Internal_Ramp_Upper,21,3875
19737.59197,30276.6374,7250.346035,191OB_Internal_Ramp_Upper,22,3875
19721.98832,30314.84387,7256.576334,191OB_Internal_Ramp_Upper,23,3875
19703.48191,30335.35207,7260.729867,191OB_Internal_Ramp_Upper,24,3875
19679.66648,30350.35233,7264.743987,191OB_Internal_Ramp_Upper,25,3875
19634.7711,30368.68016,7267.6642,191OB_Internal_Ramp_Upper,26,3875
19589.34667,30387.30044,7270.36919,191OB_Internal_Ramp_Upper,27,3875
19493.81546,30425.66573,7284.924262,191OB_Internal_Ramp_Upper,28,3875
19466.3712,30428.80997,7289.077795,191OB_Internal_Ramp_Upper,29,3875
19426.21012,30419.3076,7295.308094,191OB_Internal_Ramp_Upper,30,3875
19393.30639,30394.39671,7301.538393,191OB_Internal_Ramp_Upper,31,3875
19373.26421,30358.32014,7307.768692,191OB_Internal_Ramp_Upper,32,3875
19369.49718,30317.22249,7313.998991,191OB_Internal_Ramp_Upper,33,3875
19382.64689,30278.10354,7320.22929,191OB_Internal_Ramp_Upper,34,3875
19410.47367,30247.62605,7326.459589,191OB_Internal_Ramp_Upper,35,3875
19434.91915,30234.76165,7330.613122,191OB_Internal_Ramp_Upper,36,3875
19627.57359,30170.75132,7361.064915,191OB_Internal_Ramp_Upper,37,3875
19672.629,30168.74601,7367.888576,191OB_Internal_Ramp_Upper,38,3875
19713.99941,30186.75318,7374.715236,191OB_Internal_Ramp_Upper,39,3875
19731.33727,30203.17567,7376.609665,191OB_Internal_Ramp_Upper,40,3875
19744.76692,30224.21589,7377.440732,191OB_Internal_Ramp_Upper,41,3875
19752.58849,30247.91974,7378.271399,191OB_Internal_Ramp_Upper,42,3875
19754.37003,30271.75441,7380.166827,191OB_Internal_Ramp_Upper,43,3875
19749.32404,30298.91342,7384.32036,191OB_Internal_Ramp_Upper,44,3875
19728.457,30334.51924,7390.550659,191OB_Internal_Ramp_Upper,45,3875
19707.22784,30352.19398,7394.704192,191OB_Internal_Ramp_Upper,46,3875
19642.56496,30380.13488,7405.278364,191OB_Internal_Ramp_Upper,47,3875
19597.30915,30398.66796,7408.000259,191OB_Internal_Ramp_Upper,48,3875
19551.96651,30416.98758,7410.722155,191OB_Internal_Ramp_Upper,49,3875
19437.93947,30462.02379,7429.116371,191OB_Internal_Ramp_Upper,50,3875
19396.69866,30463.57384,7435.34667,191OB_Internal_Ramp_Upper,51,3875
19370.13528,30455.04481,7439.542202,191OB_Internal_Ramp_Upper,52,3875
19350.61164,30441.29247,7441.436631,191OB_Internal_Ramp_Upper,53,3875
19334.28991,30422.40734,7442.267698,191OB_Internal_Ramp_Upper,54,3875
19323.13386,30400.07818,7443.098365,191OB_Internal_Ramp_Upper,55,3875
19317.93592,30376.74908,7444.993793,191OB_Internal_Ramp_Upper,56,3875
19318.53101,30352.09567,7448.702305,191OB_Internal_Ramp_Upper,57,3875
19325.1413,30328.33753,7452.410816,191OB_Internal_Ramp_Upper,58,3875
19337.36476,30306.91952,7456.119327,191OB_Internal_Ramp_Upper,59,3875
19355.22926,30288.52508,7459.976179,191OB_Internal_Ramp_Upper,60,3875
19551.5419,30166.0097,7494.690845,191OB_Internal_Ramp_Upper,61,3875
19576.80467,30154.83535,7498.844378,191OB_Internal_Ramp_Upper,62,3875
19604.16077,30150.999,7502.99791,191OB_Internal_Ramp_Upper,63,3875
19644.54903,30159.48406,7509.228209,191OB_Internal_Ramp_Upper,64,3875
19668.04859,30174.00454,7513.381742,191OB_Internal_Ramp_Upper,65,3875
19693.7061,30206.32945,7519.612041,191OB_Internal_Ramp_Upper,66,3875
19702.51369,30232.5115,7523.765574,191OB_Internal_Ramp_Upper,67,3875
19701.61001,30273.77154,7529.995873,191OB_Internal_Ramp_Upper,68,3875
19691.66453,30299.54287,7534.149405,191OB_Internal_Ramp_Upper,69,3875
19675.04772,30321.60994,7538.302938,191OB_Internal_Ramp_Upper,70,3875
19634.33002,30354.37568,7545.57248,191OB_Internal_Ramp_Upper,71,3875
19596.58111,30383.86836,7548.264389,191OB_Internal_Ramp_Upper,72,3875
19558.27522,30413.80541,7551.011635,191OB_Internal_Ramp_Upper,73,3875
19523.38923,30439.84506,7557.247837,191OB_Internal_Ramp_Upper,74,3875
19497.79899,30450.24762,7561.40137,191OB_Internal_Ramp_Upper,75,3875
19470.33907,30453.25203,7565.554902,191OB_Internal_Ramp_Upper,76,3875
19443.10486,30448.62905,7569.708435,191OB_Internal_Ramp_Upper,77,3875
19418.17455,30436.73144,7573.861968,191OB_Internal_Ramp_Upper,78,3875
19389.17604,30407.36659,7580.092267,191OB_Internal_Ramp_Upper,79,3875
19377.59232,30382.28889,7584.245799,191OB_Internal_Ramp_Upper,80,3875
19374.03466,30341.17259,7590.476098,191OB_Internal_Ramp_Upper,81,3875
19381.13868,30314.47789,7594.629631,191OB_Internal_Ramp_Upper,82,3875
19515.51745,30055.377,7638.432065,191OB_Internal_Ramp_Upper,83,3875
19538.92418,30034.27558,7643.178959,191OB_Internal_Ramp_Upper,84,3875
19568.69267,30021.25777,7648.074194,191OB_Internal_Ramp_Upper,85,3875
19600.07694,30018.39901,7652.821089,191OB_Internal_Ramp_Upper,86,3875
19630.79599,30025.4506,7657.568562,191OB_Internal_Ramp_Upper,87,3875
19630.79242,30025.44916,7657.567983,191OB_Internal_Ramp_Upper,88,3875
19651.71083,30036.97749,7659.46299,191OB_Internal_Ramp_Upper,89,3875
19670.00634,30053.95751,7660.294057,191OB_Internal_Ramp_Upper,90,3875
19683.5453,30074.92762,7661.124724,191OB_Internal_Ramp_Upper,91,3875
19691.27185,30097.54545,7663.020153,191OB_Internal_Ramp_Upper,92,3875
19692.45972,30138.86303,7669.250452,191OB_Internal_Ramp_Upper,93,3875
19685.0228,30165.48373,7673.403984,191OB_Internal_Ramp_Upper,94,3875
19671.44882,30189.56104,7677.557517,191OB_Internal_Ramp_Upper,95,3875
19652.30431,30209.88029,7681.75305,191OB_Internal_Ramp_Upper,96,3875
19570.22159,30276.34957,7690.146657,191OB_Internal_Ramp_Upper,97,3875
19531.68502,30306.45764,7692.868553,191OB_Internal_Ramp_Upper,98,3875
19466.47433,30352.56404,7704.884129,191OB_Internal_Ramp_Upper,99,3875
19439.69256,30359.3324,7709.037662,191OB_Internal_Ramp_Upper,100,3875
19411.80325,30358.47874,7713.233195,191OB_Internal_Ramp_Upper,101,3875
19388.6685,30352.55567,7715.127623,191OB_Internal_Ramp_Upper,102,3875
19366.70429,30340.69733,7715.95869,191OB_Internal_Ramp_Upper,103,3875
19348.34608,30323.78505,7716.789357,191OB_Internal_Ramp_Upper,104,3875
19335.20259,30303.82223,7718.684785,191OB_Internal_Ramp_Upper,105,3875
19326.79783,30279.59712,7722.541637,191OB_Internal_Ramp_Upper,106,3875
19324.78357,30255.01893,7726.250148,191OB_Internal_Ramp_Upper,107,3875
19328.84544,30230.69516,7729.95866,191OB_Internal_Ramp_Upper,108,3875
19338.73641,30208.10504,7733.667171,191OB_Internal_Ramp_Upper,109,3875
19482.35237,30019.14878,7769.27188,191OB_Internal_Ramp_Upper,110,3875
19501.92463,29999.64978,7773.425413,191OB_Internal_Ramp_Upper,111,3875
19525.97577,29986.05464,7777.578945,191OB_Internal_Ramp_Upper,112,3875
19566.60728,29978.73717,7783.809244,191OB_Internal_Ramp_Upper,113,3875
19606.84835,29987.96329,7790.039543,191OB_Internal_Ramp_Upper,114,3875
19640.23376,30012.25073,7796.269842,191OB_Internal_Ramp_Upper,115,3875
19661.39974,30047.6974,7802.500141,191OB_Internal_Ramp_Upper,116,3875
19666.94571,30088.60837,7808.73044,191OB_Internal_Ramp_Upper,117,3875
19661.41474,30115.67667,7812.883973,191OB_Internal_Ramp_Upper,118,3875
19640.26441,30151.13268,7819.114272,191OB_Internal_Ramp_Upper,119,3875
19605.07279,30180.39319,7825.669769,191OB_Internal_Ramp_Upper,120,3875
19566.53622,30210.50126,7828.391665,191OB_Internal_Ramp_Upper,121,3875
19522.93899,30234.22221,7831.138771,191OB_Internal_Ramp_Upper,122,3875
19423.77693,30288.0928,7847.080322,191OB_Internal_Ramp_Upper,123,3875
19396.87443,30294.36409,7851.233854,191OB_Internal_Ramp_Upper,124,3875
19369.28259,30293.03583,7855.387387,191OB_Internal_Ramp_Upper,125,3875
19331.18276,30277.17361,7861.617686,191OB_Internal_Ramp_Upper,126,3875
19302.73296,30247.27684,7867.847985,191OB_Internal_Ramp_Upper,127,3875
19288.77879,30208.43758,7874.078284,191OB_Internal_Ramp_Upper,128,3875
19288.81986,30180.81382,7878.231817,191OB_Internal_Ramp_Upper,129,3875
19296.41696,30154.25524,7882.38535,191OB_Internal_Ramp_Upper,130,3875
19310.99037,30130.78847,7886.538882,191OB_Internal_Ramp_Upper,131,3875
19468.04651,29959.27365,7921.440889,191OB_Internal_Ramp_Upper,132,3875
19496.91327,29944.36271,7926.336124,191OB_Internal_Ramp_Upper,133,3875
19528.04777,29939.48542,7931.083018,191OB_Internal_Ramp_Upper,134,3875
19559.15405,29944.53955,7935.829913,191OB_Internal_Ramp_Upper,135,3875
19587.93562,29959.61429,7940.725148,191OB_Internal_Ramp_Upper,136,3875
19605.1575,29976.16388,7942.620154,191OB_Internal_Ramp_Upper,137,3875
19618.43485,29997.30055,7943.451222,191OB_Internal_Ramp_Upper,138,3875
19626.08502,30021.06027,7944.281889,191OB_Internal_Ramp_Upper,139,3875
19627.69437,30044.90719,7946.177317,191OB_Internal_Ramp_Upper,140,3875
19622.94123,30072.13544,7950.33085,191OB_Internal_Ramp_Upper,141,3875
